# OCF	OCF_CI
0.635884	0.000678
0.393833	0.000866
0.227158	0.001146
0.127953	0.001402
0.077116	0.001504
0.054780	0.001489
0.046394	0.001449
0.043485	0.001428
0.041082	0.001419
0.037784	0.001407
0.033822	0.001382
0.029209	0.001351
0.024654	0.001313
0.020313	0.001274
0.016451	0.001231
0.013283	0.001185
0.010738	0.001132
0.008725	0.001076
0.006996	0.001022
0.006103	0.000966
0.004970	0.000905
0.004111	0.000839
0.002971	0.000767
0.001975	0.000688
0.001125	0.000596
0.000530	0.000491
0.000216	0.000366
0.000093	0.000218
0.000000	0.000000
0.000000	0.000000
# Avg P-P distance: 5.464111
