# Experimental OCF data
# Columns: separation_index OCF SEM
1 0.460000 0.030000
2 0.270000 0.020000
3 0.200000 0.020000
4 0.160000 0.020000
5 0.130000 0.020000
6 0.120000 0.020000
7 0.110000 0.020000
8 0.100000 0.020000
9 0.100000 0.020000
10 0.090000 0.020000
