# Experimental OCF data
# Columns: separation_index OCF SEM
1 0.540000 0.010000
2 0.370000 0.010000
3 0.280000 0.010000
4 0.240000 0.010000
5 0.210000 0.010000
6 0.190000 0.010000
7 0.170000 0.010000
8 0.160000 0.010000
9 0.140000 0.010000
10 0.130000 0.010000
