# OCF	OCF_CI
0.674756	0.000476
0.452958	0.000601
0.301053	0.000808
0.210593	0.001015
0.161807	0.001107
0.137073	0.001097
0.123875	0.001065
0.114481	0.001056
0.105725	0.001069
0.096213	0.001078
0.085746	0.001069
0.074940	0.001051
0.064527	0.001034
0.054953	0.001014
0.046012	0.000992
0.038038	0.000965
0.031175	0.000932
0.025027	0.000892
0.020040	0.000849
0.015976	0.000802
0.012231	0.000747
0.008982	0.000689
0.006080	0.000627
0.003594	0.000560
0.002070	0.000482
0.001125	0.000393
0.000415	0.000291
0.000076	0.000172
0.000000	0.000000
0.000000	0.000000
# Avg P-P distance: 5.463763
