# Base  Sugar  Phosphate  Total
 3008.183808  2156.555100  2112.217910  7276.956818
 2906.926262  2241.183803  2080.985259  7229.095324
 2448.555769  2184.631794  2078.578045  6711.765608
 2549.349015  2287.882116  2209.567478  7046.798609
 2984.943991  2149.133911  1965.207809  7099.285710
 2639.613721  2290.283084  2171.296256  7101.193061
 2677.713010  2253.521406  2097.479492  7028.713909
 2686.519191  2195.578313  2107.746138  6989.843641
 2841.741269  2183.872474  1990.217864  7015.831607
 2703.054494  2193.597648  2074.810729  6971.462870
 2757.307260  2061.212961  2031.844583  6850.364804
 2643.808664  2153.563472  2064.638993  6862.011128
 2536.824836  2300.247950  2082.389096  6919.461881
 2463.658389  2210.997041  2267.902647  6942.558077
 2583.338554  2138.019914  2246.316353  6967.674821
 2461.306489  2188.885914  2213.836995  6864.029399
 2482.456879  2295.205338  2037.811172  6815.473390
 2737.031429  2194.674266  2019.889717  6951.595411
 2858.726992  2208.739685  2034.824748  7102.291426
 2241.034573  2232.688582  2231.514547  6705.237702
 2431.231562  2255.580060  2120.026456  6806.838078
 2502.161636  2049.133802  2102.759602  6654.055040
 3044.998596  1992.305648  2087.554536  7124.858781
 2952.024320  2151.405412  2150.677098  7254.106830
 2747.815607  2134.530651  2062.628585  6944.974843
 2775.257977  2048.663642  1882.432416  6706.354035
 2843.990404  2133.890546  2126.933216  7104.814166
 3374.264457  2001.710565  1895.645984  7271.621007
 2734.395175  2110.328772  1870.808863  6715.532810
 2719.631934  2171.161610  2070.259737  6961.053281
 2659.490569  2277.208852  1933.574429  6870.273850
 2268.005393  2262.538071  2112.807698  6643.351161
 2606.865398  2249.316771  2079.040880  6935.223049
 2903.492983  2173.363629  2029.219967  7106.076579
 2903.957095  2121.579538  2083.158009  7108.694642
 2738.919406  2067.801612  2161.748628  6968.469646
 2508.736830  2235.354121  2140.236258  6884.327210
 3134.746047  2135.213024  2032.039262  7301.998334
 2878.229650  2105.608250  1945.002461  6928.840362
 2773.674221  2220.061145  1967.826829  6961.562195
 2781.162261  2102.954363  2117.897396  7002.014020
 2958.288882  2171.683026  2076.809722  7206.781630
 2825.352866  2228.216151  1931.921396  6985.490413
 2578.755229  2149.186938  2095.467251  6823.409418
 3212.689331  1969.357334  2032.075542  7214.122206
 3095.419859  2144.038472  2036.963820  7276.422150
 3102.267075  2042.009691  2128.530415  7272.807181
 3285.058207  2024.950865  2021.100532  7331.109604
 2964.773695  2086.651019  1939.904443  6991.329157
 3096.040828  1920.954010  1891.213040  6908.207878
 2828.772504  2217.062472  2047.782294  7093.617270
 3120.278176  2066.720880  1965.232651  7152.231707
 2808.706257  2151.137906  2084.071869  7043.916031
 3420.627190  2133.513542  1978.174181  7532.314913
 2906.639823  2080.597564  2038.331551  7025.568938
 2826.668765  2225.513958  2114.870296  7167.053020
 2842.807156  2164.646439  2004.244498  7011.698093
 3095.641147  1943.144601  1959.392098  6998.177846
 2419.012467  2250.507592  2121.177708  6790.697767
 2504.925558  2202.774836  2139.287904  6846.988298
 2185.459473  2246.679583  2328.580897  6760.719953
 3011.924602  2100.043822  2089.043786  7201.012210
 2626.187565  2197.486039  2179.123585  7002.797188
 2913.125221  2171.502682  2109.811802  7194.439706
 2852.247856  2169.586847  2014.549342  7036.384044
 2789.740534  2022.932432  2060.635434  6873.308400
 3190.215622  2140.840720  1998.630833  7329.687175
 3200.890370  2139.667894  1761.243366  7101.801630
 2588.905775  2079.798053  2049.887534  6718.591362
 2916.081470  2127.779632  2132.389351  7176.250454
 2934.689974  2130.061180  2130.811167  7195.562321
 2823.829254  2136.881169  2088.505975  7049.216398
 3326.838275  1962.038003  1982.627377  7271.503655
 2850.364888  2119.800292  2046.353594  7016.518774
 3145.410215  2063.949748  1968.931937  7178.291900
 2821.420436  2142.895317  2062.594610  7026.910363
 3152.223778  2062.850189  2031.212759  7246.286726
