# Base  Sugar  Phosphate  Total
 2999.922317  2333.930159  2087.692731  7421.545207
 2929.321802  2246.066789  2255.124763  7430.513354
 2667.108237  2197.847428  2173.749946  7038.705611
 2642.881962  2267.286178  2360.043837  7270.211977
 2447.243750  2311.845807  2213.692596  6972.782152
 2622.583604  2158.092437  2334.011925  7114.687967
 2797.723436  2267.248285  2051.697408  7116.669129
 2746.433814  2276.375728  2184.698161  7207.507703
 3138.271420  2231.923071  2103.980560  7474.175051
 3284.065016  2182.602596  1926.440463  7393.108075
 2859.068568  2204.956600  2201.452968  7265.478136
 2957.541956  2220.623624  2239.343303  7417.508883
 3245.015333  2170.369033  2217.666447  7633.050814
 2951.440526  2220.125521  2179.499798  7351.065846
 2946.032271  2246.103178  2254.920798  7447.056247
 2501.676761  2351.534233  2103.938123  6957.149117
 2490.704727  2341.451991  2274.237791  7106.394508
 2200.465153  2403.400714  2281.013127  6884.878995
 2508.294718  2335.438950  2165.133416  7008.867084
 2431.769317  2240.277099  2215.814353  6887.860769
 2645.365140  2247.346154  2277.731259  7170.442553
 2585.354923  2380.741618  2295.612720  7261.709262
 2752.971596  2122.475160  2238.181278  7113.628035
 2664.063360  2228.102783  2073.624602  6965.790746
 2472.878469  2351.555187  2219.050957  7043.484613
 2958.014648  2182.139553  2240.079666  7380.233867
 3015.517161  2187.357018  2186.320827  7389.195005
 2951.760956  2234.239655  2139.205692  7325.206302
 2916.418114  2228.618219  2009.355969  7154.392302
 2804.799230  2216.682168  2124.366568  7145.847966
 2639.743614  2201.977642  2247.672015  7089.393270
 2571.367459  2300.061468  2206.307789  7077.736716
 2523.357628  2358.367270  2181.429372  7063.154270
 2373.150519  2212.099922  2115.585490  6700.835931
 2632.545327  2335.938388  2173.526457  7142.010172
 2542.419892  2254.108055  2236.147319  7032.675265
 2383.522428  2229.488505  2260.659370  6873.670303
 2865.468550  2317.305232  2182.326739  7365.100522
 2767.712593  2325.510152  2228.767380  7321.990124
 2366.155635  2219.967957  2049.078842  6635.202434
 2558.832530  2191.173973  2108.760183  6858.766686
 2797.285970  2225.579630  2236.539445  7259.405045
 2361.985050  2200.548114  2059.127777  6621.660941
 3009.975593  2162.348968  2251.882553  7424.207114
 2540.597343  2313.954239  2317.180726  7171.732308
 2655.428648  2238.970762  2262.429036  7156.828446
 2836.738482  2269.468523  2217.421571  7323.628576
 2934.302156  2296.298821  2047.264991  7277.865967
 2937.351977  2283.238726  2178.704459  7399.295163
 2977.487573  2315.824357  2193.084301  7486.396232
 2797.636096  2229.091077  2180.056031  7206.783204
 3058.775232  2129.268852  2072.940297  7260.984381
 2872.450174  2214.024946  2218.551582  7305.026703
 2791.799855  2200.385520  2163.458879  7155.644254
 2404.099059  2343.709210  2176.189287  6923.997556
 2624.493686  2163.611723  2134.080324  6922.185733
 2544.007614  2205.024780  1975.976763  6725.009157
 2420.233971  2200.778179  1871.789444  6492.801594
 2533.342730  2207.544428  2131.639158  6872.526316
 2934.539440  2267.778711  2175.223789  7377.541941
 2602.519929  2188.998354  2177.961231  6969.479514
 2429.928968  2185.427963  2252.763126  6868.120057
 2696.146019  2247.609210  2016.147665  6959.902894
 2670.052053  2274.680334  2205.136780  7149.869167
 2219.951469  2397.751070  2295.914511  6913.617050
 2474.848638  2324.162012  2226.194356  7025.205006
 2277.610000  2385.279920  2207.194015  6870.083934
 2791.231779  2251.897994  2167.134202  7210.263974
 2304.366116  2291.904253  2391.298915  6987.569283
 2540.307008  2342.982467  2145.606006  7028.895481
 2808.145437  2248.445993  2244.676213  7301.267642
 2375.483908  2292.601743  2250.202904  6918.288555
 2553.509027  2254.388101  2245.004637  7052.901765
 2451.940100  2356.545731  2337.070347  7145.556178
 2463.207278  2352.007694  2160.226683  6975.441654
 2431.640381  2291.418152  2280.302542  7003.361075
 2638.932034  2269.073546  2294.414180  7202.419760
 2666.726119  2240.819645  2269.719381  7177.265145
 2178.368238  2397.372560  2172.636027  6748.376825
 2171.243327  2370.262174  2260.902254  6802.407755
 2463.127692  2296.509563  2167.397819  6927.035074
 2523.932711  2226.448908  2174.510228  6924.891847
 2429.913395  2322.898680  2231.884337  6984.696413
 2681.187826  2265.160652  2216.665289  7163.013767
 2811.630827  2143.847269  2079.024285  7034.502381
 3198.875657  2217.497849  2056.242641  7472.616148
 2520.745317  2184.224937  2290.226219  6995.196473
 2386.291979  2347.203770  2181.212603  6914.708352
 2551.893801  2327.499496  2069.863166  6949.256463
 2957.884334  2294.616154  2104.860739  7357.361228
 2495.108920  2252.783905  2242.998094  6990.890919
 2743.849521  2222.029488  2241.208383  7207.087392
 2225.131409  2286.075348  2106.239197  6617.445954
 2931.598912  2211.058610  2119.571236  7262.228758
 2179.440738  2410.383751  1925.110647  6514.935136
 2370.772547  2243.802668  2274.456770  6889.031986
 2777.180758  2127.430198  2072.249245  6976.860201
 2752.331213  2193.067250  2156.755890  7102.154353
 2745.236520  2277.760893  2018.009037  7041.006449
 2585.914632  2267.053660  2184.422087  7037.390379
 2873.213911  2205.872503  2027.869181  7106.955594
 2795.425734  2287.491629  2139.833339  7222.750702
 2736.665594  2301.821048  2173.751339  7212.237981
 2386.070617  2397.413451  2175.257257  6958.741325
 2573.031760  2324.069212  2216.664067  7113.765040
 2333.974649  2277.025122  2195.013479  6806.013249
 2366.149174  2259.609657  2304.408925  6930.167756
 2766.970705  2286.189207  2123.393050  7176.552962
 2736.969169  2087.143109  2233.244102  7057.356380
 2675.181518  2354.139563  2207.002703  7236.323784
 2344.068065  2257.763297  2304.405034  6906.236396
 2565.596142  2266.641828  2289.137864  7121.375833
 2669.985727  2357.469141  2176.178657  7203.633526
 2689.045064  2249.302954  2327.410324  7265.758343
 2734.334756  2195.361227  2208.238120  7137.934103
 2439.758977  2301.117098  2164.892216  6905.768291
 3023.310826  2231.916813  2236.447058  7491.674697
 2731.819536  2228.762474  2183.668651  7144.250662
 2745.619780  2154.991332  2161.410241  7062.021353
 2955.265997  2155.039839  2311.849394  7422.155229
 3089.657523  2281.056413  2076.371379  7447.085315
 2669.411088  2235.051702  2286.081222  7190.544011
 3010.213369  2227.520346  1958.799938  7196.533654
 2964.360463  2295.962692  2146.685131  7407.008286
 2908.078408  2219.165193  2247.628039  7374.871640
 2529.346887  2323.756774  2198.403946  7051.507607
 2928.803162  2259.744231  2181.816133  7370.363526
 2912.565865  2265.397000  2062.463489  7240.426355
 2723.445417  2320.682145  2176.514668  7220.642231
 2833.390119  2172.462916  2232.939124  7238.792160
 2983.839354  2106.291208  2151.712694  7241.843256
 2674.555852  2354.596735  2174.731837  7203.884424
 2430.355812  2287.842129  2256.108758  6974.306699
