# OCF	OCF_CI
0.689807	0.000421
0.416020	0.000553
0.196544	0.000802
0.057442	0.001081
-0.006838	0.001210
-0.017658	0.001166
0.000449	0.001063
0.027239	0.001033
0.048932	0.001079
0.059936	0.001115
0.060010	0.001095
0.052709	0.001038
0.041703	0.000983
0.030683	0.000939
0.021774	0.000901
0.015262	0.000864
0.011465	0.000824
0.009273	0.000786
0.007883	0.000750
0.006702	0.000712
0.005683	0.000669
0.004461	0.000619
0.003183	0.000563
0.002022	0.000503
0.001208	0.000437
0.000736	0.000360
0.000326	0.000267
0.000087	0.000154
0.000000	0.000000
0.000000	0.000000
# Avg P-P distance: 5.462259
