# OCF	OCF_CI
0.732271	0.000374
0.466941	0.000509
0.239746	0.000807
0.088245	0.001163
0.016238	0.001347
0.005906	0.001303
0.031893	0.001152
0.070022	0.001095
0.102248	0.001176
0.119462	0.001269
0.120364	0.001273
0.108264	0.001202
0.089237	0.001122
0.068309	0.001076
0.049799	0.001048
0.035830	0.001011
0.026639	0.000959
0.021204	0.000909
0.018284	0.000868
0.016318	0.000827
0.014301	0.000780
0.012013	0.000722
0.009378	0.000656
0.006717	0.000581
0.004313	0.000500
0.002375	0.000408
0.001098	0.000299
0.000317	0.000169
0.000000	0.000000
0.000000	0.000000
# Avg P-P distance: 5.465725
