# Experimental OCF data
# Columns: separation_index OCF SEM
1 0.740000 0.028000
2 0.460000 0.020000
3 0.240000 0.010000
4 0.120000 0.040000
5 0.100000 0.046000
6 0.150000 0.020000
7 0.210000 0.020000
8 0.260000 0.040000
9 0.280000 0.050000
10 0.260000 0.040000
