# Base  Sugar  Phosphate  Total
 2200.317871  2333.565695  2266.652232  6800.535798
 2441.689964  2265.645042  2143.880784  6851.215790
 2328.944591  2107.148780  2118.580760  6554.674131
 2874.327365  2250.883946  2212.405341  7337.616652
 3015.555479  2181.393223  2258.561245  7455.509947
 2676.514377  2247.392988  2329.760165  7253.667530
 2354.118236  2296.003660  2162.911601  6813.033497
 2915.681432  2271.423787  2179.681315  7366.786534
 2870.890669  2265.098972  2312.785587  7448.775227
 2376.870306  2224.567798  2274.913480  6876.351584
 2982.186385  2146.625574  2128.854831  7257.666790
 2499.432345  2170.452904  2111.312405  6781.197655
 2713.041328  2156.094400  2085.268592  6954.404321
 3080.111724  2128.920852  2136.457228  7345.489803
 3273.504028  2097.125683  2190.226684  7560.856395
 2698.256085  2330.789235  2247.006579  7276.051899
 2654.404838  2340.886011  2259.159001  7254.449849
 2701.398973  2290.262892  2279.098723  7270.760588
 3120.993739  2185.616811  2095.026099  7401.636649
 3079.097119  2308.961170  2095.079597  7483.137886
 2608.618026  2110.220262  2227.166594  6946.004882
 3044.317667  2169.959137  2109.222146  7323.498950
 3042.622598  2302.968407  2164.552274  7510.143279
 2997.636667  2119.205890  1929.190405  7046.032963
 3173.020902  2254.636715  2163.350229  7591.007847
 3245.507128  2094.173714  2113.737827  7453.418669
 2791.910772  2076.267704  2121.949885  6990.128361
 2808.417280  2268.152091  2172.807725  7249.377096
 2620.667915  2378.085430  2099.233728  7097.987073
 2894.710573  2126.377192  2169.353696  7190.441461
 2697.491193  2129.431961  2245.234158  7072.157312
 2635.991074  2293.925188  2275.610460  7205.526723
 2511.391460  2290.166293  2218.555354  7020.113107
 2445.760473  2311.913081  2169.855875  6927.529429
 2718.493548  2111.845287  2097.790040  6928.128875
 3047.628154  2198.024976  2256.953603  7502.606733
 2669.807578  2125.723616  2020.700739  6816.231932
 2956.513659  2284.198978  2162.499348  7403.211985
 2749.196730  2268.587683  2209.878836  7227.663250
 2430.842841  2295.730114  2320.261404  7046.834359
 2692.618822  2318.879350  2153.503373  7165.001545
 2791.092841  2231.569220  2105.970457  7128.632519
 2503.635377  2345.428843  2252.161952  7101.226172
 2628.549262  2359.491491  2183.544120  7171.584873
 2851.595496  2259.085953  2190.988252  7301.669702
 2385.429678  2167.839775  2033.735491  6587.004943
 2562.865379  2314.940057  2142.631982  7020.437418
 2455.215017  2241.540675  2059.225490  6755.981182
 2507.648879  2235.403518  2246.328133  6989.380530
 2330.852334  2256.749983  2083.484629  6671.086946
