# Experimental OCF data
# Columns: separation_index OCF SEM
1 0.410000 0.050000
2 0.250000 0.020000
3 0.200000 0.020000
4 0.150000 0.020000
5 0.140000 0.020000
6 0.130000 0.020000
7 0.110000 0.020000
8 0.100000 0.020000
9 0.097000 0.020000
10 0.091000 0.020000
