# Experimental OCF data
# Columns: separation_index OCF SEM
1 0.570000 0.030000
2 0.230000 0.050000
3 0.150000 0.050000
4 0.190000 0.070000
5 0.224000 0.010000
6 0.220000 0.007000
7 0.212000 0.010000
8 0.207200 0.010000
9 0.207600 0.010000
10 0.206000 0.010000
