# Base  Sugar  Phosphate  Total
 2300.098772  2331.124804  2282.761832  6913.985408
 2459.277079  2306.760479  2305.172171  7071.209729
 2299.687790  2372.821246  2295.887642  6968.396679
 2460.534048  2317.788139  2317.894150  7096.216337
 2604.307773  2268.614873  2264.885051  7137.807698
 2388.718075  2279.240346  2141.881573  6809.839993
 2512.237118  2377.544627  2226.764475  7116.546220
 2599.490365  2365.545855  2278.247182  7243.283402
 2844.016911  2284.614052  2131.876522  7260.507486
 2742.695198  2252.557441  2312.340132  7307.592772
 2545.453809  2295.187727  2236.843860  7077.485396
 2786.165595  2301.970046  2120.921041  7209.056682
 2694.656590  2137.454714  2209.708148  7041.819452
 2828.829388  2287.206866  2085.130355  7201.166608
 2938.243942  2189.688392  2133.278978  7261.211311
 2592.929294  2167.258725  2120.994255  6881.182274
 2942.148651  2174.570760  2229.448647  7346.168058
 2811.425831  2202.331834  2214.488465  7228.246129
 2389.739570  2305.528173  2216.968327  6912.236069
 2907.863200  2190.759031  2244.402384  7343.024614
 2491.498389  2299.127883  2353.369548  7143.995820
 2613.103820  2304.800049  2245.852084  7163.755953
 2638.670991  2205.348763  2125.860203  6969.879957
 2453.425238  2331.564003  2203.375894  6988.365135
 2624.842963  2272.120586  2257.429501  7154.393050
 2831.956941  2222.829524  2207.862371  7262.648836
 2990.135115  2212.258720  2176.977775  7379.371609
 2672.823266  2206.140426  2123.568939  7002.532631
 2919.739388  2224.104442  2196.624524  7340.468353
 2533.733099  2104.163460  2077.297244  6715.193803
 2650.861577  2270.522593  2103.587031  7024.971201
 2714.635758  2117.311169  2293.153948  7125.100874
 2876.354566  2162.721062  2278.331034  7317.406661
 2908.258341  2205.352887  2165.307985  7278.919213
 2781.762088  2235.910696  2177.410860  7195.083644
 2381.958219  2322.815971  2193.165274  6897.939465
 2197.353796  2284.487484  2216.151709  6697.992989
 2647.311289  2293.546441  2319.099491  7259.957221
 3020.892743  2306.779165  2170.041130  7497.713038
 2823.127297  2170.987461  2284.456187  7278.570945
 2971.672322  2235.634598  2143.755425  7351.062345
 2692.943124  2345.611577  2212.641614  7251.196315
 2495.674466  2227.695540  2253.361152  6976.731159
 2412.823192  2287.520698  2335.832050  7036.175940
 2252.723803  2344.441203  2262.906918  6860.071924
 2450.544059  2355.737872  2218.763197  7025.045128
 2583.319749  2269.765347  2287.980802  7141.065898
 2588.299522  2170.371865  2225.721108  6984.392496
 2284.672114  2307.181627  2306.851059  6898.704800
 2786.548712  2297.450266  2146.402851  7230.401829
 2570.529498  2297.229404  2298.750559  7166.509462
 2416.466423  2198.598877  2055.674977  6670.740277
 2977.149066  2159.402266  2226.727300  7363.278633
 2636.409286  2303.856772  2067.041810  7007.307868
 2781.927027  2102.272889  2127.047810  7011.247726
 2689.884924  2095.646685  2176.513697  6962.045305
 2943.800564  2245.766910  2182.421277  7371.988752
 2782.779555  2280.073189  2150.019218  7212.871963
 2618.146465  2396.833949  2158.048340  7173.028753
 2791.160581  2273.990608  2246.259169  7311.410357
 2761.950915  2247.271240  2039.345871  7048.568026
 2911.775527  2238.839825  2226.826494  7377.441846
 2823.143659  2247.137664  2173.044143  7243.325466
 2471.945832  2354.088701  2043.603825  6869.638359
 2765.836725  2190.521416  2285.818328  7242.176469
 2742.703078  2235.862121  2258.066754  7236.631953
 2708.835783  2335.084803  2088.529334  7132.449920
 2808.368822  2226.926197  2161.617425  7196.912444
 2669.840741  2216.661522  2293.023430  7179.525693
 2503.567625  2248.425205  2303.869090  7055.861920
 2015.120701  2309.591007  2175.797754  6500.509463
 2582.424207  2285.056446  2177.047142  7044.527795
 2744.544858  2299.963512  2241.517339  7286.025709
 2436.104176  2299.651093  2248.813874  6984.569143
 2637.742857  2387.876899  2028.313943  7053.933700
 2934.139777  2240.408617  2122.766962  7297.315355
 2900.502252  2273.166629  2211.589477  7385.258358
 2727.310502  2322.628165  2186.105854  7236.044522
 3043.013903  2093.948292  2290.834162  7427.796357
 2877.656082  2091.129054  2037.968589  7006.753724
 2928.298291  2190.829582  2192.395799  7311.523671
 2871.386777  2191.737782  2075.307021  7138.431581
 2938.307964  2131.997125  2015.275784  7085.580874
 2746.242051  2191.276263  2077.659538  7015.177852
 2930.928662  2218.238289  2197.659013  7346.825964
 2848.525745  2187.688149  2201.746872  7237.960766
 3002.466400  2262.519435  1957.005190  7221.991025
 3143.070938  2160.170450  2177.269685  7480.511073
 2600.330965  2153.923431  2187.333553  6941.587949
 2978.857239  2088.964993  2219.574086  7287.396318
 2826.672852  2295.048264  2150.164676  7271.885791
 2552.706039  2344.161648  2152.974711  7049.842397
 2750.020572  2236.975980  2152.115331  7139.111883
 2880.000689  2278.771244  2169.973027  7328.744959
 2833.771943  2251.449023  2163.370030  7248.590996
 2720.502953  2170.663906  2121.741139  7012.907998
 2541.962990  2296.132507  2212.111715  7050.207212
 2697.210422  2327.497173  2229.638828  7254.346423
 2411.805205  2309.105469  2243.007530  6963.918203
 2422.526064  2324.235436  2329.015597  7075.777097
 2512.244388  2337.121137  2185.210702  7034.576227
 2375.901213  2289.912752  2155.674164  6821.488129
 2485.498963  2240.249246  2370.867684  7096.615893
 2661.918804  2367.803031  2202.294381  7232.016216
 2668.510334  2212.052256  2107.316115  6987.878705
 2701.360149  2231.797033  2221.457228  7154.614410
 2655.050004  2289.330892  2125.657597  7070.038493
 2636.843583  2240.004077  2110.222729  6987.070389
 2851.201389  2184.165228  2114.319514  7149.686130
 2809.009726  2156.426763  2141.361376  7106.797865
 2671.563709  2124.340819  2280.638729  7076.543257
 2826.294089  2311.821710  2162.328292  7300.444090
 2717.293014  2334.719462  2040.835303  7092.847780
 2509.570330  2325.136747  2335.568863  7170.275940
 2590.717619  2355.114747  2265.636335  7211.468701
 2327.083278  2402.535831  2200.052919  6929.672027
 2316.332866  2340.870349  2147.067877  6804.271092
 2850.622218  2243.912990  2091.251164  7185.786372
 2341.179944  2160.532719  2224.985371  6726.698034
 2849.715622  2301.827295  2150.167896  7301.710812
 3210.535727  2080.677556  1978.967750  7270.181033
 2795.405416  2045.028806  2118.320056  6958.754278
 3260.276277  2247.276320  2034.473696  7542.026293
 2829.772087  2174.304393  2145.756450  7149.832931
 3039.746359  2136.265914  2264.771516  7440.783790
 3001.795393  2226.691675  2095.089991  7323.577060
 3118.693450  2143.629487  2017.019302  7279.342239
 2973.235839  2301.800500  2210.115431  7485.151770
 2995.483606  2137.725696  2076.707065  7209.916367
 2693.705507  2100.097224  2253.119966  7046.922697
 3098.843577  2228.411462  2102.008796  7429.263835
 2821.607850  2168.771579  2206.265237  7196.644666
 2655.134152  2335.858149  2040.395679  7031.387980
 2684.813189  2226.391330  2223.663562  7134.868080
 2771.180681  2232.621001  2102.820267  7106.621949
 2673.195304  2250.165651  2349.114353  7272.475308
 2739.817238  2171.275405  2108.591180  7019.683823
 2802.870445  2256.868424  2127.659141  7187.398010
 2850.632493  2165.522466  2037.405139  7053.560099
 3047.035155  2204.858652  2120.102135  7371.995943
 2608.721042  2317.528762  2182.142878  7108.392681
 2642.205724  2212.846535  2203.383282  7058.435541
 2797.889764  2159.685225  2275.424847  7232.999836
 2704.007514  2206.056695  2060.754952  6970.819161
 2643.749218  2233.001263  2161.983585  7038.734067
 2659.307952  2191.875226  2044.435812  6895.618990
 2850.811651  2218.709112  2192.703843  7262.224606
 2969.125634  2249.254616  2208.723722  7427.103972
 2537.516514  2225.344006  2178.156223  6941.016743
 2634.303260  2192.206324  2136.872774  6963.382358
 2545.116441  2401.831206  2146.252031  7093.199679
 2830.741175  2235.639415  2171.046419  7237.427009
 2615.773026  2121.056009  1956.633809  6693.462844
 2647.598764  2061.875820  2104.035917  6813.510501
 2443.488456  2244.791863  2094.018892  6782.299211
 2410.319493  2202.709576  2108.033805  6721.062874
 2394.134754  2097.630093  1913.752031  6405.516878
 2428.614425  2266.339725  2102.567803  6797.521953
 2536.314587  2370.529299  2027.259376  6934.103261
 2388.136123  2182.563444  2166.565265  6737.264832
 2672.337797  2142.606272  2117.750924  6932.694993
 2886.344644  2153.271891  1919.358698  6958.975233
 2650.343249  2230.208833  2196.058068  7076.610150
 2965.444147  2159.273791  2171.435772  7296.153710
 2369.108517  2284.911275  2129.972987  6783.992778
 2545.371435  2213.366890  2320.091335  7078.829661
 2696.183902  2253.323860  2237.018867  7186.526629
 2735.434908  2177.723089  2238.894211  7152.052208
 3248.002789  2136.762200  2110.390074  7495.155062
 3098.313639  2196.543789  2236.472650  7531.330077
 2700.842162  2264.522781  2065.767237  7031.132180
 3000.375808  2192.537748  2169.680266  7362.593822
 3106.016269  2170.372480  2239.756751  7516.145500
 3132.307475  2251.189868  2174.566709  7558.064052
 2875.191521  2144.299067  2183.474755  7202.965343
 2442.437730  2222.345503  2156.885932  6821.669165
 2834.308054  2204.665546  2213.382572  7252.356171
 2566.158845  2163.300608  2280.448101  7009.907554
 2637.416926  2228.403173  2182.462090  7048.282189
 2431.660335  2269.428769  2289.956341  6991.045445
 2223.627486  2244.276495  2174.959778  6642.863758
 2413.764797  2301.992508  2107.337511  6823.094817
 2680.844726  2206.432189  2141.729664  7029.006579
 2648.882559  2344.597857  2223.958974  7217.439390
 2578.934787  2277.750689  2028.417252  6885.102728
 2528.563005  2217.941154  2160.835084  6907.339243
 2660.118254  2279.568750  2202.870640  7142.557644
 2466.926350  2368.047585  2297.952049  7132.925984
 2460.663164  2311.628017  2287.213021  7059.504201
 2354.351771  2333.771573  2240.562525  6928.685869
 2535.046476  2264.125064  2235.217457  7034.388998
