### DATA:
#
# 261
#      Q             I(Q)           Error     
6.50000000E-02  2.01509259E+01  4.38266502E+00
6.60000000E-02  1.97727188E+01  4.34072267E+00
6.70000000E-02  1.94009751E+01  4.29909833E+00
6.80000000E-02  1.90357796E+01  4.25781100E+00
6.90000000E-02  1.86772090E+01  4.21687935E+00
7.00000000E-02  1.83253202E+01  4.17632045E+00
7.10000000E-02  1.79801578E+01  4.13615046E+00
7.20000000E-02  1.76417537E+01  4.09638459E+00
7.30000000E-02  1.73101272E+01  4.05703705E+00
7.40000000E-02  1.69852823E+01  4.01812057E+00
7.50000000E-02  1.66672150E+01  3.97964734E+00
7.60000000E-02  1.63559079E+01  3.94162821E+00
7.70000000E-02  1.60513339E+01  3.90407307E+00
7.80000000E-02  1.57534544E+01  3.86699061E+00
7.90000000E-02  1.54622239E+01  3.83038881E+00
8.00000000E-02  1.51775862E+01  3.79427444E+00
8.10000000E-02  1.48994775E+01  3.75865332E+00
8.20000000E-02  1.46278263E+01  3.72353031E+00
8.30000000E-02  1.43625532E+01  3.68890925E+00
8.40000000E-02  1.41035730E+01  3.65479311E+00
8.50000000E-02  1.38507959E+01  3.62118417E+00
8.60000000E-02  1.36041240E+01  3.58808350E+00
8.70000000E-02  1.33634569E+01  3.55549160E+00
8.80000000E-02  1.31286889E+01  3.52340813E+00
8.90000000E-02  1.28997109E+01  3.49183195E+00
9.00000000E-02  1.26764096E+01  3.46076112E+00
9.10000000E-02  1.24586700E+01  3.43019315E+00
9.20000000E-02  1.22463739E+01  3.40012481E+00
9.30000000E-02  1.20394024E+01  3.37055240E+00
9.40000000E-02  1.18376326E+01  3.34147129E+00
9.50000000E-02  1.16409437E+01  3.31287677E+00
9.60000000E-02  1.14492118E+01  3.28476332E+00
9.70000000E-02  1.12623139E+01  3.25712513E+00
9.80000000E-02  1.10801254E+01  3.22995573E+00
9.90000000E-02  1.09025253E+01  3.20324879E+00
1.00000000E-01  1.07293898E+01  3.17699711E+00
1.01000000E-01  1.05605970E+01  3.15119335E+00
1.02000000E-01  1.03960259E+01  3.12582991E+00
1.03000000E-01  1.02355585E+01  3.10089918E+00
1.04000000E-01  1.00790759E+01  3.07639296E+00
1.05000000E-01  9.92646291E+00  3.05230323E+00
1.06000000E-01  9.77760538E+00  3.02862172E+00
1.07000000E-01  9.63239110E+00  3.00533999E+00
1.08000000E-01  9.49071076E+00  2.98244969E+00
1.09000000E-01  9.35245599E+00  2.95994220E+00
1.10000000E-01  9.21752233E+00  2.93780910E+00
1.11000000E-01  9.08580819E+00  2.91604207E+00
1.12000000E-01  8.95721199E+00  2.89463240E+00
1.13000000E-01  8.83163700E+00  2.87357180E+00
1.14000000E-01  8.70898939E+00  2.85285207E+00
1.15000000E-01  8.58917626E+00  2.83246485E+00
1.16000000E-01  8.47210864E+00  2.81240205E+00
1.17000000E-01  8.35770041E+00  2.79265576E+00
1.18000000E-01  8.24586838E+00  2.77321822E+00
1.19000000E-01  8.13653032E+00  2.75408154E+00
1.20000000E-01  8.02960883E+00  2.73523833E+00
1.21000000E-01  7.92502751E+00  2.71668110E+00
1.22000000E-01  7.82271474E+00  2.69840292E+00
1.23000000E-01  7.72259799E+00  2.68039640E+00
1.24000000E-01  7.62461146E+00  2.66265510E+00
1.25000000E-01  7.52868841E+00  2.64517216E+00
1.26000000E-01  7.43476691E+00  2.62794132E+00
1.27000000E-01  7.34278507E+00  2.61095613E+00
1.28000000E-01  7.25268483E+00  2.59421057E+00
1.29000000E-01  7.16441105E+00  2.57769897E+00
1.30000000E-01  7.07790858E+00  2.56141544E+00
1.31000000E-01  6.99312520E+00  2.54535443E+00
1.32000000E-01  6.91001252E+00  2.52951093E+00
1.33000000E-01  6.82852219E+00  2.51387974E+00
1.34000000E-01  6.74860679E+00  2.49845568E+00
1.35000000E-01  6.67022376E+00  2.48323431E+00
1.36000000E-01  6.59332859E+00  2.46821066E+00
1.37000000E-01  6.51788164E+00  2.45338055E+00
1.38000000E-01  6.44384419E+00  2.43873982E+00
1.39000000E-01  6.37117659E+00  2.42428400E+00
1.40000000E-01  6.29984304E+00  2.41000922E+00
1.41000000E-01  6.22980871E+00  2.39591170E+00
1.42000000E-01  6.16103975E+00  2.38198771E+00
1.43000000E-01  6.09350327E+00  2.36823358E+00
1.44000000E-01  6.02716830E+00  2.35464594E+00
1.45000000E-01  5.96200486E+00  2.34122149E+00
1.46000000E-01  5.89798392E+00  2.32795702E+00
1.47000000E-01  5.83507647E+00  2.31484922E+00
1.48000000E-01  5.77325542E+00  2.30189507E+00
1.49000000E-01  5.71249464E+00  2.28909166E+00
1.50000000E-01  5.65276995E+00  2.27643639E+00
1.51000000E-01  5.59405523E+00  2.26392617E+00
1.52000000E-01  5.53632726E+00  2.25155844E+00
1.53000000E-01  5.47956380E+00  2.23933073E+00
1.54000000E-01  5.42374066E+00  2.22724012E+00
1.55000000E-01  5.36883848E+00  2.21528461E+00
1.56000000E-01  5.31483599E+00  2.20346173E+00
1.57000000E-01  5.26171094E+00  2.19176873E+00
1.58000000E-01  5.20944592E+00  2.18020382E+00
1.59000000E-01  5.15802059E+00  2.16876453E+00
1.60000000E-01  5.10741660E+00  2.15744873E+00
1.61000000E-01  5.05761555E+00  2.14625424E+00
1.62000000E-01  5.00860004E+00  2.13517901E+00
1.63000000E-01  4.96035361E+00  2.12422116E+00
1.64000000E-01  4.91285886E+00  2.11337855E+00
1.65000000E-01  4.86609933E+00  2.10264916E+00
1.66000000E-01  4.82005956E+00  2.09203116E+00
1.67000000E-01  4.77472405E+00  2.08152265E+00
1.68000000E-01  4.73007927E+00  2.07112215E+00
1.69000000E-01  4.68610781E+00  2.06082720E+00
1.70000000E-01  4.64279805E+00  2.05063665E+00
1.71000000E-01  4.60013452E+00  2.04054839E+00
1.72000000E-01  4.55810463E+00  2.03056096E+00
1.73000000E-01  4.51669583E+00  2.02067284E+00
1.74000000E-01  4.47589261E+00  2.01088177E+00
1.75000000E-01  4.43568532E+00  2.00118684E+00
1.76000000E-01  4.39606041E+00  1.99158616E+00
1.77000000E-01  4.35700626E+00  1.98207826E+00
1.78000000E-01  4.31851128E+00  1.97266165E+00
1.79000000E-01  4.28056385E+00  1.96333478E+00
1.80000000E-01  4.24315333E+00  1.95409629E+00
1.81000000E-01  4.20626907E+00  1.94494481E+00
1.82000000E-01  4.16990044E+00  1.93587890E+00
1.83000000E-01  4.13403777E+00  1.92689735E+00
1.84000000E-01  4.09866944E+00  1.91799840E+00
1.85000000E-01  4.06378771E+00  1.90918127E+00
1.86000000E-01  4.02938195E+00  1.90044437E+00
1.87000000E-01  3.99544441E+00  1.89178684E+00
1.88000000E-01  3.96196445E+00  1.88320705E+00
1.89000000E-01  3.92893338E+00  1.87470380E+00
1.90000000E-01  3.89634440E+00  1.86627640E+00
1.91000000E-01  3.86418689E+00  1.85792310E+00
1.92000000E-01  3.83245503E+00  1.84964340E+00
1.93000000E-01  3.80114013E+00  1.84143599E+00
1.94000000E-01  3.77023347E+00  1.83329955E+00
1.95000000E-01  3.73972828E+00  1.82523324E+00
1.96000000E-01  3.70961877E+00  1.81723644E+00
1.97000000E-01  3.67989525E+00  1.80930749E+00
1.98000000E-01  3.65055288E+00  1.80144598E+00
1.99000000E-01  3.62158297E+00  1.79365046E+00
2.00000000E-01  3.59298164E+00  1.78592075E+00
2.01000000E-01  3.56474018E+00  1.77825532E+00
2.02000000E-01  3.53685279E+00  1.77065343E+00
2.03000000E-01  3.50931367E+00  1.76311432E+00
2.04000000E-01  3.48211701E+00  1.75563718E+00
2.05000000E-01  3.45525701E+00  1.74822121E+00
2.06000000E-01  3.42872786E+00  1.74086558E+00
2.07000000E-01  3.40252376E+00  1.73356944E+00
2.08000000E-01  3.37663890E+00  1.72633190E+00
2.09000000E-01  3.35106941E+00  1.71915264E+00
2.10000000E-01  3.32580853E+00  1.71203046E+00
2.11000000E-01  3.30085335E+00  1.70496525E+00
2.12000000E-01  3.27619613E+00  1.69795553E+00
2.13000000E-01  3.25183397E+00  1.69100116E+00
2.14000000E-01  3.22776202E+00  1.68410142E+00
2.15000000E-01  3.20397450E+00  1.67725532E+00
2.16000000E-01  3.18046752E+00  1.67046241E+00
2.17000000E-01  3.15723722E+00  1.66372220E+00
2.18000000E-01  3.13427780E+00  1.65703364E+00
2.19000000E-01  3.11158634E+00  1.65039651E+00
2.20000000E-01  3.08915802E+00  1.64381002E+00
2.21000000E-01  3.06698897E+00  1.63727362E+00
2.22000000E-01  3.04507434E+00  1.63078650E+00
2.23000000E-01  3.02341027E+00  1.62434807E+00
2.24000000E-01  3.00199386E+00  1.61795807E+00
2.25000000E-01  2.98082026E+00  1.61161561E+00
2.26000000E-01  2.95988658E+00  1.60532038E+00
2.27000000E-01  2.93918798E+00  1.59907148E+00
2.28000000E-01  2.91872156E+00  1.59286857E+00
2.29000000E-01  2.89848248E+00  1.58671071E+00
2.30000000E-01  2.87846880E+00  1.58059785E+00
2.31000000E-01  2.85867569E+00  1.57452901E+00
2.32000000E-01  2.83910025E+00  1.56850381E+00
2.33000000E-01  2.81973957E+00  1.56252187E+00
2.34000000E-01  2.80058882E+00  1.55658217E+00
2.35000000E-01  2.78164606E+00  1.55068460E+00
2.36000000E-01  2.76290646E+00  1.54482813E+00
2.37000000E-01  2.74436904E+00  1.53901292E+00
2.38000000E-01  2.72602801E+00  1.53323760E+00
2.39000000E-01  2.70788239E+00  1.52750233E+00
2.40000000E-01  2.68992832E+00  1.52180634E+00
2.41000000E-01  2.67216192E+00  1.51614881E+00
2.42000000E-01  2.65458127E+00  1.51052958E+00
2.43000000E-01  2.63718249E+00  1.50494782E+00
2.44000000E-01  2.61996268E+00  1.49940302E+00
2.45000000E-01  2.60291990E+00  1.49389496E+00
2.46000000E-01  2.58605126E+00  1.48842310E+00
2.47000000E-01  2.56935288E+00  1.48298659E+00
2.48000000E-01  2.55282283E+00  1.47758518E+00
2.49000000E-01  2.53645724E+00  1.47221799E+00
2.50000000E-01  2.52025514E+00  1.46688507E+00
2.51000000E-01  2.50421266E+00  1.46158552E+00
2.52000000E-01  2.48832787E+00  1.45631906E+00
2.53000000E-01  2.47259786E+00  1.45108509E+00
2.54000000E-01  2.45701973E+00  1.44588297E+00
2.55000000E-01  2.44159156E+00  1.44071242E+00
2.56000000E-01  2.42631139E+00  1.43557311E+00
2.57000000E-01  2.41117537E+00  1.43046409E+00
2.58000000E-01  2.39618253E+00  1.42538533E+00
2.59000000E-01  2.38132996E+00  1.42033619E+00
2.60000000E-01  2.36661669E+00  1.41531665E+00
2.61000000E-01  2.35203790E+00  1.41032535E+00
2.62000000E-01  2.33759357E+00  1.40536262E+00
2.63000000E-01  2.32328178E+00  1.40042807E+00
2.64000000E-01  2.30909866E+00  1.39552068E+00
2.65000000E-01  2.29504323E+00  1.39064038E+00
2.66000000E-01  2.28111356E+00  1.38578679E+00
2.67000000E-01  2.26730869E+00  1.38095986E+00
2.68000000E-01  2.25362475E+00  1.37615850E+00
2.69000000E-01  2.24006076E+00  1.37138264E+00
2.70000000E-01  2.22661480E+00  1.36663187E+00


### HEADER:
#
#{
#    "analysis": {},
#    "counters": {
#        "comment": "q q_i_avg\n"
#    },
#    "filename": "avg.dat",
#    "history": {},
#    "unit": ""
#}

