### DATA:
#
# 261
#      Q             I(Q)           Error     
1.00000000E-02  4.17729476E+01  6.33443027E+00
1.10000000E-02  4.15916055E+01  6.32056767E+00
1.20000000E-02  4.13941881E+01  6.30544155E+00
1.30000000E-02  4.11810117E+01  6.28906711E+00
1.40000000E-02  4.09524178E+01  6.27146093E+00
1.50000000E-02  4.07087671E+01  6.25264051E+00
1.60000000E-02  4.04504448E+01  6.23262473E+00
1.70000000E-02  4.01778552E+01  6.21143352E+00
1.80000000E-02  3.98914230E+01  6.18908801E+00
1.90000000E-02  3.95915903E+01  6.16561033E+00
2.00000000E-02  3.92788166E+01  6.14102368E+00
2.10000000E-02  3.89535760E+01  6.11535219E+00
2.20000000E-02  3.86163589E+01  6.08862110E+00
2.30000000E-02  3.82676674E+01  6.06085645E+00
2.40000000E-02  3.79080171E+01  6.03208533E+00
2.50000000E-02  3.75379324E+01  6.00233551E+00
2.60000000E-02  3.71579483E+01  5.97163571E+00
2.70000000E-02  3.67686064E+01  5.94001530E+00
2.80000000E-02  3.63704544E+01  5.90750433E+00
2.90000000E-02  3.59640485E+01  5.87413383E+00
3.00000000E-02  3.55499439E+01  5.83993505E+00
3.10000000E-02  3.51287019E+01  5.80494011E+00
3.20000000E-02  3.47008834E+01  5.76918157E+00
3.30000000E-02  3.42670477E+01  5.73269230E+00
3.40000000E-02  3.38277568E+01  5.69550602E+00
3.50000000E-02  3.33835650E+01  5.65765635E+00
3.60000000E-02  3.29350257E+01  5.61917753E+00
3.70000000E-02  3.24826864E+01  5.58010402E+00
3.80000000E-02  3.20270879E+01  5.54047043E+00
3.90000000E-02  3.15687643E+01  5.50031162E+00
4.00000000E-02  3.11082408E+01  5.45966254E+00
4.10000000E-02  3.06460340E+01  5.41855828E+00
4.20000000E-02  3.01826479E+01  5.37703374E+00
4.30000000E-02  2.97185788E+01  5.33512409E+00
4.40000000E-02  2.92543066E+01  5.29286404E+00
4.50000000E-02  2.87903014E+01  5.25028844E+00
4.60000000E-02  2.83270188E+01  5.20743188E+00
4.70000000E-02  2.78648991E+01  5.16432859E+00
4.80000000E-02  2.74043688E+01  5.12101263E+00
4.90000000E-02  2.69458391E+01  5.07751774E+00
5.00000000E-02  2.64897027E+01  5.03387701E+00
5.10000000E-02  2.60363399E+01  4.99012348E+00
5.20000000E-02  2.55861106E+01  4.94628933E+00
5.30000000E-02  2.51393590E+01  4.90240639E+00
5.40000000E-02  2.46964123E+01  4.85850589E+00
5.50000000E-02  2.42575799E+01  4.81461845E+00
5.60000000E-02  2.38231531E+01  4.77077395E+00
5.70000000E-02  2.33934056E+01  4.72700161E+00
5.80000000E-02  2.29685948E+01  4.68333002E+00
5.90000000E-02  2.25489567E+01  4.63978663E+00
6.00000000E-02  2.21347139E+01  4.59639852E+00
6.10000000E-02  2.17260684E+01  4.55319159E+00
6.20000000E-02  2.13232071E+01  4.51019107E+00
6.30000000E-02  2.09262972E+01  4.46742106E+00
6.40000000E-02  2.05354917E+01  4.42490493E+00
